index,text,labels
124,I apologize. I was out of line.,1
714,You are an awesome friend.,5
435,What’s up,3
594,Why didn’t you visit us for such a long time?,4
101,I'm sorry I hurt your feelings,1
582,How is it that you always forget to inform me that the meeting is canceled?!,4
297,Do you think you could help me carry the suitcase?,2
348,Please could you send me the updated version of the report?,2
630,Wow! Your car looks amazing!,5
2,The pizza in Italy is the best in the world.,0
522,Long time no seen. It is such a pleasure meeting you again.,3
343,I would like to request a meeting with you to discuss the project we are working on together,2
346,Please take out the trash,2
165,I'm so sorry,1
587,"Mum, Ming hit me!",4
159,I wish I hadn’t done that.,1
240,Can you pass me that book?,2
440,Hey man,3
446,How ya goin?,3
678,You are so funny!,5
458,Bye bye,3
210,I can't believe I was such insenstive,1
42,Who do you think is the best player?,0
314,A little bird told me you know all about real estate.,2
505,"Hi, it's nice to meet you",3
258,Could you telephone me in the afternoon?,2
524,I’d like to make a complaint about the package that didn’t arrive,4
503,Hi there! Welcome to our shop! Let me know if you need any help finding anything,3
169,I must apologize,1
710,My wife is the best person I know,5
434,How are you?,3
424,"Hello, nice to see you",3
259,Can you add some extra cheese?,2
65,"Uh, not a whole lot.",0
294,Tom suggested I ask for your help with the homework,2
560,I’m angry that they allow themselves to talk like that,4
677,She has a talented and handsome son,5
335,Please pass the salt,2
707,Wonderful!,5
160,I didn’t mean to hurt you.,1
302,Would you mind feeding the cat while we are on vacation?,2
78,How much do they pay for a system engineer?,0
606,My exam was not fairly judged by my teacher,4
610,Yang is not respecting my parents,4
35,"Hey, I really like your tie!",0
245,Can you please change your seat?,2
186,I take all the blame,1
266,Could you please change this food? I can see a fly on the rice.,2
288,Id like to request that you will clean your room,2
333,Can you please turn off the lights?,2
205,You must forgive me,1
382,Can I please have a glass of water?,2
126,How should I apologize to you?,1
452,Happy Christmas!,3
207,I know it was thoughtless of me,1
438,Where’ve you been?,3
221,It was inexcusable,1
252,Do you mind passing me the stapler?,2
137,Mea culpa!,1
13,No one likes him in his school although his sister is charming.,0
457,Goodbye,3
32,I disagree.,0
80,I’m sure no one believed it.,0
381,Could I please have a cup of coffee?,2
537,You are always late!,4
534,Its too cold,4
667,You are beautiful,5
531,That’s just not acceptable.,4
66,I don't know,0
359,"Can I have a glass of water, please?",2
699,You’ve submitted a perfect exam,5
403,Could you please provide me with more information about Dan? I would appreciate it if you,2
305,Can I leave it to you?,2
199,I know it was wrong of me to speak like that,1
615,My wife forgot about me,4
655,Isn’t your ring beautiful!,5
379,May I please have a glass of water?,2
157,I’m ashamed of my behavior.,1
521,"Hi, this is ant Zhang. Welcome uncle.",3
223,Please don't hold a grudge,1
410,Can you please provide me with the information I need in order to complete this task?,2
640,You sang that song really well!,5
711,Your inside is even more beautiful than your outside.,5
213,I just want the ground to swallow me up,1
133,Oops!,1
37,Please get up as we are leaving.,0
466,Good morning! How are you today?,3
340,Can you please turn off the lights?,2
672,These clothes suit you well!,5
107,I’ve messed up.,1
473,Good to see you,3
171,I really am so sorry,1
415,"I’m sorry to bother you, but could you please tell me where the bathroom is",2
489,I wish you all the best in your future endeavors,3
425,"Hello, how are you doing?",3
480,"Hello, my name is Delwin",3
704,You are a clever student,5
290,"You can bring uncle John from the train station, cant you?",2
324,Would you mind lending me ten cents?,2
591,Your son behavior is the class was outrageous,4
251,Could you please send me the project files in the zip format?,2
147,I apologize for the confusion.,1
90,Do you think she is gay?,0
548,"Oh, this is too expensive for its value",4
116,I’m sorry.,1
657,How kind of you to say so.,5
179,I accept full responsibility for my behavior,1
596,Why didn’t you call me yesterday? I was worried.,4
638,You cooked a really tasty meal!,5
552,Don’t you ever do it again!,4
264,Could you please arrange one more table for us?,2
691,You’re so beautiful!,5
300,"If you may reduce the commission, that would be a great help.",2
316,"Do me a favour, will you? ...",2
390,Can I please have your name?  Can I please have your contact information?,2
155,How can I make it up to you?,1
649,What a great job you have done with this project!,5
10,I love to eat ice-cream,0
642,You cooked the beef perfectly!,5
167,It was my fault,1
411,"Excuse me, could you please tell me where the nearest post office is?",2
492,Nice to meet you,3
550,Didn’t you promise me not to open my letter again?,4
244,Could you please keep quiet?,2
326,Can you give me your hand?,2
460,See you later,3
260,Could you please make it a double?,2
16,"I planned a trip to London, but it was canceled",0
304,Are you any good at mechanics?,2
59,It is,0
104,I'm sorry for causing problems or unhappiness,1
368,"Excuse me, could I please have a glass of water?",2
117,I’m so sorry about that.,1
262,Do you mind passing me the salt?,2
565,Some salt is missing from the dish,4
176,I know my actions insulted you,1
43,"Yes, please",0
280,Please move your car if its not too much trouble.,2
5,Nora would love to see you dining with us,0
189,Please excuse my behavior,1
496,Welcome! My name is Dale and it's nice to meet you,3
125,You can blame me for that.,1
282,Do you have a book that you could lend me?,2
154,I hope you can forgive me.,1
330,I need to find my way to the train station. Can you help?,2
626,You are the best person to do this job,5
373,Can I please have a cup of coffee?,2
578,My son isn’t ready to invest efforts in finding a decent job,4
700,Your son is great!,5
296,Could you by any chance help him fix the machine?,2
243,I was wondering if it would be possible for you to send me the feedback tomorrow.,2
250,I was wondering if could reschedule the meeting next week.,2
238,"Could you turn off the lights, please? I cant sleep.",2
281,Can I request you move forward?,2
235,Could you get me a cup of coffee?,2
502,"Hello, my name is Alexandros",3
