index,text,labels
271,Could you tell me how to get to the supermarket?,2
652,Great show!,5
360,Can you please turn off the light?,2
427,Hello there,3
58,"Oh, you mean you switched schools for the kids.",0
124,I apologize. I was out of line.,1
714,You are an awesome friend.,5
435,What’s up,3
636,Those are delicious dishes that you made.,5
130,I messed up.,1
594,Why didn’t you visit us for such a long time?,4
101,I'm sorry I hurt your feelings,1
469,Good morning,3
297,Do you think you could help me carry the suitcase?,2
348,Please could you send me the updated version of the report?,2
630,Wow! Your car looks amazing!,5
588,It is a disgusting sausage,4
603,I believe that you have mischarged me from too much money,4
343,I would like to request a meeting with you to discuss the project we are working on together,2
346,Please take out the trash,2
144,Sorry for the inconvenience caused.,1
165,I'm so sorry,1
587,"Mum, Ming hit me!",4
159,I wish I hadn’t done that.,1
40,Where is the nearest shop?,0
185,I regret...,1
683,You’re one of a kind,5
95,No one is totally innocent.,0
446,How ya goin?,3
678,You are so funny!,5
248,Will you pass me the ball?,2
383,Can I please have a cup of water?,2
673,How are you so stylish?!,5
287,I need your help with cooking the dinner,2
458,Bye bye,3
42,Who do you think is the best player?,0
314,A little bird told me you know all about real estate.,2
491,It's nice to meet you,3
258,Could you telephone me in the afternoon?,2
524,I’d like to make a complaint about the package that didn’t arrive,4
503,Hi there! Welcome to our shop! Let me know if you need any help finding anything,3
526,"Excuse me, but I’m really not happy with your behavior",4
694,I really like you,5
321,Theres something I think you can help me with. ...,2
65,"Uh, not a whole lot.",0
445,You right?,3
123,I’m very sorry for the way I behaved.,1
294,Tom suggested I ask for your help with the homework,2
57,Is that right?,0
560,I’m angry that they allow themselves to talk like that,4
317,Heres your chance to repay me for...,2
273,Would you mind holding the baby for me?,2
707,Wonderful!,5
160,I didn’t mean to hurt you.,1
302,Would you mind feeding the cat while we are on vacation?,2
109,I’ve fudged that up.,1
656,Isn’t tonight memorable!,5
78,How much do they pay for a system engineer?,0
606,My exam was not fairly judged by my teacher,4
610,Yang is not respecting my parents,4
35,"Hey, I really like your tie!",0
245,Can you please change your seat?,2
186,I take all the blame,1
266,Could you please change this food? I can see a fly on the rice.,2
181,I can understand how you feel about what I’ve said,1
333,Can you please turn off the lights?,2
369,Could you please hand me that book?,2
516,Welcome! It's great to see you again,3
62,Get your shoes of the sofa!,0
595,I don’t like the way she designed my kitchen,4
308,I have a request...,2
126,How should I apologize to you?,1
452,Happy Christmas!,3
221,It was inexcusable,1
252,Do you mind passing me the stapler?,2
137,Mea culpa!,1
13,No one likes him in his school although his sister is charming.,0
457,Goodbye,3
32,I disagree.,0
697,You’re perfect to me,5
196,I apologize wholeheartedly,1
537,You are always late!,4
152,Please forgive me for my behavior.,1
699,You’ve submitted a perfect exam,5
494,Welcome! I'm glad you're here,3
305,Can I leave it to you?,2
97,She was her best friend for years.,0
199,I know it was wrong of me to speak like that,1
615,My wife forgot about me,4
655,Isn’t your ring beautiful!,5
209,I can see how you might be annoyed by what I did,1
379,May I please have a glass of water?,2
157,I’m ashamed of my behavior.,1
521,"Hi, this is ant Zhang. Welcome uncle.",3
410,Can you please provide me with the information I need in order to complete this task?,2
640,You sang that song really well!,5
213,I just want the ground to swallow me up,1
133,Oops!,1
37,Please get up as we are leaving.,0
161,I didn’t mean to offend you.,1
340,Can you please turn off the lights?,2
672,These clothes suit you well!,5
107,I’ve messed up.,1
682,You have great temperament,5
489,I wish you all the best in your future endeavors,3
425,"Hello, how are you doing?",3
290,"You can bring uncle John from the train station, cant you?",2
324,Would you mind lending me ten cents?,2
591,Your son behavior is the class was outrageous,4
251,Could you please send me the project files in the zip format?,2
147,I apologize for the confusion.,1
651,Good shot!,5
90,Do you think she is gay?,0
548,"Oh, this is too expensive for its value",4
116,I’m sorry.,1
179,I accept full responsibility for my behavior,1
638,You cooked a really tasty meal!,5
552,Don’t you ever do it again!,4
691,You’re so beautiful!,5
573,Are you still trying to insult me?,4
390,Can I please have your name?  Can I please have your contact information?,2
155,How can I make it up to you?,1
649,What a great job you have done with this project!,5
602,I was sending you my proposal but received no response,4
675,You look good today,5
167,It was my fault,1
411,"Excuse me, could you please tell me where the nearest post office is?",2
136,My mistake!,1
244,Could you please keep quiet?,2
326,Can you give me your hand?,2
671,Her outfit is mesmerizing,5
460,See you later,3
295,Can I ask you to help your sister?,2
260,Could you please make it a double?,2
318,I could do with some help actually.,2
278,I wonder if you could drive a little faster.,2
16,"I planned a trip to London, but it was canceled",0
304,Are you any good at mechanics?,2
59,It is,0
584,I wish she could have love me more than she do,4
224,Don't hold this against me,1
368,"Excuse me, could I please have a glass of water?",2
262,Do you mind passing me the salt?,2
565,Some salt is missing from the dish,4
43,"Yes, please",0
280,Please move your car if its not too much trouble.,2
5,Nora would love to see you dining with us,0
189,Please excuse my behavior,1
496,Welcome! My name is Dale and it's nice to meet you,3
125,You can blame me for that.,1
26,"Hi, I just saw Tony passing nearby",0
282,Do you have a book that you could lend me?,2
154,I hope you can forgive me.,1
626,You are the best person to do this job,5
373,Can I please have a cup of coffee?,2
578,My son isn’t ready to invest efforts in finding a decent job,4
472,Good morning Daniel,3
345,Katrell: Please bring me a glass of water,2
296,Could you by any chance help him fix the machine?,2
243,I was wondering if it would be possible for you to send me the feedback tomorrow.,2
108,I’ve slipped up.,1
281,Can I request you move forward?,2
235,Could you get me a cup of coffee?,2
220,"If I could take it all back, I would",1
